#2023/06/07 14:43:57
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
40.77080,0.06160,-0.11567,0.00000,0.03209,0.97722,-0.18947,0.0,2023,6,7,14,43,58,2
40.77090,0.06160,-0.08067,0.00000,0.03038,0.97576,-0.19044,0.0,2023,6,7,14,43,58,10
40.77100,-0.04340,-0.04567,0.00000,0.03123,0.97600,-0.18800,0.0,2023,6,7,14,43,58,20
40.77110,-0.04340,-0.06317,0.00000,0.03392,0.97746,-0.18715,0.0,2023,6,7,14,43,58,30
40.77120,-0.20090,0.04183,0.00000,0.03209,0.97783,-0.18971,0.0,2023,6,7,14,43,58,40
40.77130,-0.11340,0.12933,0.00000,0.03135,0.97624,-0.19056,0.0,2023,6,7,14,43,58,50
40.77140,-0.04340,0.07683,0.00000,0.03209,0.97698,-0.19154,0.0,2023,6,7,14,43,58,60
40.77150,-0.09590,0.11183,0.00000,0.03087,0.97734,-0.19020,0.0,2023,6,7,14,43,58,70
40.77160,0.07910,-0.18567,0.00000,0.03001,0.97588,-0.18849,0.0,2023,6,7,14,43,58,80
40.77170,-0.13090,-0.06317,0.00000,0.03074,0.97868,-0.19032,0.0,2023,6,7,14,43,58,90
40.77180,0.11410,0.02433,0.00000,0.03135,0.97832,-0.18898,0.0,2023,6,7,14,43,58,100
40.77190,-0.20090,-0.22067,0.00000,0.03196,0.97551,-0.18959,0.0,2023,6,7,14,43,58,110
40.77200,0.20160,-0.22067,0.00000,0.02977,0.97551,-0.19008,0.0,2023,6,7,14,43,58,120
40.77210,0.06160,0.02433,0.00000,0.03135,0.97649,-0.18898,0.0,2023,6,7,14,43,58,130
40.77220,0.00910,0.07683,0.00000,0.03099,0.97637,-0.18995,0.0,2023,6,7,14,43,58,140
40.77230,0.13160,-0.06317,0.00000,0.02928,0.97649,-0.18971,0.0,2023,6,7,14,43,58,150
40.77240,-0.21840,0.23433,0.00000,0.03062,0.97807,-0.19081,0.0,2023,6,7,14,43,58,160
40.77250,0.02660,0.12933,0.00000,0.03172,0.97600,-0.18873,0.0,2023,6,7,14,43,58,170
40.77260,-0.09590,0.09433,0.00000,0.03306,0.97722,-0.19008,0.0,2023,6,7,14,43,58,180
40.77270,-0.09590,0.18183,0.00000,0.03135,0.97661,-0.18812,0.0,2023,6,7,14,43,58,190
40.77280,-0.04340,0.14683,0.00000,0.03196,0.97368,-0.18910,0.0,2023,6,7,14,43,58,200
40.77290,-0.09590,-0.02817,0.00000,0.02977,0.97673,-0.18995,0.0,2023,6,7,14,43,58,210
40.77300,0.09660,0.04183,0.00000,0.03343,0.97661,-0.18971,0.0,2023,6,7,14,43,58,220
40.77310,0.04410,0.00683,0.00000,0.03355,0.97783,-0.19117,0.0,2023,6,7,14,43,58,230
40.77320,0.23660,-0.08067,0.00000,0.02977,0.97820,-0.18910,0.0,2023,6,7,14,43,58,240
40.77330,-0.09590,0.19933,0.00000,0.03367,0.97490,-0.19081,0.0,2023,6,7,14,43,58,250
40.77340,0.20160,0.00683,0.00000,0.03074,0.97624,-0.18971,0.0,2023,6,7,14,43,58,260
40.77350,-0.02590,0.12933,0.00000,0.03318,0.97722,-0.18825,0.0,2023,6,7,14,43,58,270
40.77360,-0.07840,-0.08067,0.00000,0.03343,0.97734,-0.18971,0.0,2023,6,7,14,43,58,280
40.77370,-0.16590,0.05933,0.00000,0.02867,0.98039,-0.18898,0.0,2023,6,7,14,43,58,290
40.77380,0.11410,0.11183,0.00000,0.03184,0.97515,-0.18825,0.0,2023,6,7,14,43,58,300
