#2023/06/09 18:17:17
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
0.00000,2.83500,-4.44500,0.00000,0.01122,0.96770,-0.22814,2023,6,9,18,17,17,571
0.00010,3.04500,-4.67250,0.00000,0.01354,0.96514,-0.22875,2023,6,9,18,17,17,582
0.00020,3.18500,-4.58500,0.00000,0.01037,0.96563,-0.22668,2023,6,9,18,17,17,593
0.00030,2.90500,-4.62000,0.00000,0.01208,0.96551,-0.23009,2023,6,9,18,17,17,604
0.00040,3.04500,-4.39250,0.00000,0.01013,0.96429,-0.22899,2023,6,9,18,17,17,615
0.00050,3.44750,-4.65500,0.00000,0.01037,0.96392,-0.22814,2023,6,9,18,17,17,626
0.00060,3.44750,-4.63750,0.00000,0.01122,0.96539,-0.22838,2023,6,9,18,17,17,637
0.00070,3.34250,-4.60250,0.00000,0.01037,0.96441,-0.22997,2023,6,9,18,17,17,648
0.00080,3.09750,-4.51500,0.00000,0.01147,0.96331,-0.23009,2023,6,9,18,17,17,659
0.00090,2.73000,-4.74250,0.00000,0.01159,0.96392,-0.23180,2023,6,9,18,17,17,670
0.00100,2.99250,-4.69000,0.00000,0.01257,0.96795,-0.22802,2023,6,9,18,17,17,682
0.00110,3.11500,-4.41000,0.00000,0.01122,0.96514,-0.22851,2023,6,9,18,17,17,693
0.00120,3.55250,-4.74250,0.00000,0.01110,0.96636,-0.22765,2023,6,9,18,17,17,704
0.00130,3.36000,-4.37500,0.00000,0.01025,0.96417,-0.22655,2023,6,9,18,17,17,715
0.00140,3.20250,-4.56750,0.00000,0.00976,0.96551,-0.22960,2023,6,9,18,17,17,726
0.00150,2.81750,-4.62000,0.00000,0.01220,0.96490,-0.23034,2023,6,9,18,17,17,737
0.00160,2.95750,-4.48000,0.00000,0.01013,0.96648,-0.22790,2023,6,9,18,17,17,748
0.00170,3.02750,-4.62000,0.00000,0.00988,0.96563,-0.22619,2023,6,9,18,17,17,759
0.00180,3.02750,-4.65500,0.00000,0.01000,0.96807,-0.22777,2023,6,9,18,17,17,770
0.00190,3.11500,-4.53250,0.00000,0.01427,0.96624,-0.23034,2023,6,9,18,17,17,782
