#2023/06/08 11:43:21
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
520.71760,-0.00665,-0.12005,0.00000,0.02098,0.97332,-0.20276,0.0,2023,6,8,11,43,21,115
520.71770,-0.25165,0.03745,0.00000,0.02037,0.97173,-0.20276,0.0,2023,6,8,11,43,21,126
520.71780,0.08085,-0.24255,0.00000,0.02098,0.97246,-0.20313,0.0,2023,6,8,11,43,21,137
520.71790,-0.26915,0.07245,0.00000,0.01903,0.97039,-0.20240,0.0,2023,6,8,11,43,21,148
520.71800,0.13335,0.22995,0.00000,0.01879,0.97112,-0.20569,0.0,2023,6,8,11,43,21,159
520.71810,0.04585,0.03745,0.00000,0.01854,0.97356,-0.20276,0.0,2023,6,8,11,43,21,170
520.71820,0.01085,-0.05005,0.00000,0.01940,0.97100,-0.20459,0.0,2023,6,8,11,43,21,181
520.71830,0.02835,0.08995,0.00000,0.01976,0.97234,-0.20362,0.0,2023,6,8,11,43,21,192
520.71840,-0.12915,0.08995,0.00000,0.02172,0.97539,-0.20179,0.0,2023,6,8,11,43,21,203
520.71850,-0.04165,0.22995,0.00000,0.02330,0.97295,-0.20350,0.0,2023,6,8,11,43,21,215
520.71860,0.08085,-0.10255,0.00000,0.02123,0.97295,-0.20374,0.0,2023,6,8,11,43,21,226
520.71870,-0.11165,0.10745,0.00000,0.01964,0.97307,-0.20459,0.0,2023,6,8,11,43,21,237
520.71880,0.09835,-0.24255,0.00000,0.02025,0.97332,-0.20301,0.0,2023,6,8,11,43,21,248
520.71890,0.08085,0.00245,0.00000,0.02416,0.97405,-0.20289,0.0,2023,6,8,11,43,21,259
520.71900,-0.02415,0.08995,0.00000,0.02025,0.97307,-0.20228,0.0,2023,6,8,11,43,21,270
520.71910,-0.09415,-0.15505,0.00000,0.02135,0.97393,-0.20191,0.0,2023,6,8,11,43,21,281
520.71920,-0.19915,0.14245,0.00000,0.02147,0.97246,-0.20252,0.0,2023,6,8,11,43,21,292
