#2023/06/08 14:00:00
time,wx,wy,wz,ax,ay,az,yy,MM,dd,hh,mm,ss,ms
1.93400,0.04795,0.19600,0.00000,0.03013,0.97441,-0.18837,2023,6,8,14,0,0,71
1.93410,0.08295,0.12600,0.00000,0.03050,0.97698,-0.18837,2023,6,8,14,0,0,82
1.93420,0.08295,0.09100,0.00000,0.03074,0.97624,-0.18947,2023,6,8,14,0,0,94
1.93430,-0.05705,0.03850,0.00000,0.02855,0.97490,-0.18922,2023,6,8,14,0,0,105
1.93440,-0.03955,0.12600,0.00000,0.02855,0.97283,-0.18788,2023,6,8,14,0,0,116
1.93450,0.03045,0.00350,0.00000,0.03111,0.97612,-0.18995,2023,6,8,14,0,0,127
1.93460,-0.03955,0.12600,0.00000,0.02977,0.97478,-0.18910,2023,6,8,14,0,0,138
1.93470,0.15295,-0.32900,0.00000,0.03172,0.97624,-0.18764,2023,6,8,14,0,0,149
1.93480,-0.03955,0.02100,0.00000,0.03209,0.97698,-0.18825,2023,6,8,14,0,0,160
1.93490,0.01295,-0.15400,0.00000,0.03099,0.97661,-0.18947,2023,6,8,14,0,0,171
1.93500,-0.05705,0.03850,0.00000,0.03135,0.97722,-0.18934,2023,6,8,14,0,0,182
1.93510,0.20545,-0.03150,0.00000,0.03050,0.97624,-0.19008,2023,6,8,14,0,0,194
1.93520,-0.00455,0.09100,0.00000,0.03026,0.97478,-0.19117,2023,6,8,14,0,0,205
1.93530,0.20545,-0.11900,0.00000,0.03135,0.97441,-0.18971,2023,6,8,14,0,0,216
1.93540,-0.00455,0.00350,0.00000,0.03050,0.97527,-0.19130,2023,6,8,14,0,0,227
1.93550,-0.07455,0.14350,0.00000,0.03160,0.97576,-0.19008,2023,6,8,14,0,0,238
1.93560,0.08295,0.02100,0.00000,0.03074,0.97649,-0.18934,2023,6,8,14,0,0,249
1.93570,-0.07455,-0.18900,0.00000,0.02843,0.97563,-0.18861,2023,6,8,14,0,0,260
1.93580,0.04795,0.07350,0.00000,0.02867,0.97612,-0.18983,2023,6,8,14,0,0,271
1.93590,0.08295,0.09100,0.00000,0.02965,0.97612,-0.18886,2023,6,8,14,0,0,282
1.93600,-0.02205,0.03850,0.00000,0.03074,0.97478,-0.19117,2023,6,8,14,0,0,294
1.93610,0.06545,0.02100,0.00000,0.02916,0.97307,-0.18812,2023,6,8,14,0,0,305
1.93620,0.20545,0.03850,0.00000,0.02952,0.97661,-0.18812,2023,6,8,14,0,0,316
1.93630,-0.12705,-0.03150,0.00000,0.03074,0.97588,-0.18922,2023,6,8,14,0,0,327
1.93640,-0.02205,-0.03150,0.00000,0.03282,0.97515,-0.18886,2023,6,8,14,0,0,338
1.93650,-0.10955,-0.03150,0.00000,0.03257,0.97551,-0.18837,2023,6,8,14,0,0,349
1.93660,-0.07455,0.14350,0.00000,0.03123,0.97466,-0.19044,2023,6,8,14,0,0,360
1.93670,-0.00455,-0.04900,0.00000,0.03135,0.97380,-0.19069,2023,6,8,14,0,0,371
1.93680,-0.09205,0.03850,0.00000,0.02891,0.97661,-0.18971,2023,6,8,14,0,0,382
1.93690,-0.16205,0.17850,0.00000,0.03123,0.97563,-0.19056,2023,6,8,14,0,0,394
1.93700,-0.19705,0.09100,0.00000,0.02721,0.97393,-0.18812,2023,6,8,14,0,0,405
1.93710,0.04795,-0.06650,0.00000,0.03038,0.97502,-0.18947,2023,6,8,14,0,0,416
1.93720,0.08295,-0.03150,0.00000,0.02977,0.97417,-0.18886,2023,6,8,14,0,0,427
1.93730,0.18795,0.05600,0.00000,0.02928,0.97673,-0.18886,2023,6,8,14,0,0,438
